Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Tue Oct 29 2013,7:00 pm,Orlando Magic,87,Indiana Pacers,97,Box Score,,
Tue Oct 29 2013,10:30 pm,Los Angeles Clippers,103,Los Angeles Lakers,116,Box Score,,
Tue Oct 29 2013,8:00 pm,Chicago Bulls,95,Miami Heat,107,Box Score,,
Wed Oct 30 2013,7:00 pm,Brooklyn Nets,94,Cleveland Cavaliers,98,Box Score,,
Wed Oct 30 2013,8:30 pm,Atlanta Hawks,109,Dallas Mavericks,118,Box Score,,
Wed Oct 30 2013,7:30 pm,Washington Wizards,102,Detroit Pistons,113,Box Score,,
Wed Oct 30 2013,10:30 pm,Los Angeles Lakers,94,Golden State Warriors,125,Box Score,,
Wed Oct 30 2013,8:00 pm,Charlotte Bobcats,83,Houston Rockets,96,Box Score,,
Wed Oct 30 2013,8:00 pm,Orlando Magic,115,Minnesota Timberwolves,120,Box Score,OT,
Wed Oct 30 2013,8:00 pm,Indiana Pacers,95,New Orleans Pelicans,90,Box Score,,
Wed Oct 30 2013,7:30 pm,Milwaukee Bucks,83,New York Knicks,90,Box Score,,
Wed Oct 30 2013,7:00 pm,Miami Heat,110,Philadelphia 76ers,114,Box Score,,
Wed Oct 30 2013,10:00 pm,Portland Trail Blazers,91,Phoenix Suns,104,Box Score,,
Wed Oct 30 2013,10:00 pm,Denver Nuggets,88,Sacramento Kings,90,Box Score,,
Wed Oct 30 2013,8:30 pm,Memphis Grizzlies,94,San Antonio Spurs,101,Box Score,,
Wed Oct 30 2013,7:00 pm,Boston Celtics,87,Toronto Raptors,93,Box Score,,
Wed Oct 30 2013,9:00 pm,Oklahoma City Thunder,101,Utah Jazz,98,Box Score,,
Thu Oct 31 2013,8:00 pm,New York Knicks,81,Chicago Bulls,82,Box Score,,
Thu Oct 31 2013,10:30 pm,Golden State Warriors,115,Los Angeles Clippers,126,Box Score,,
